mes,entrada_agua_hm3,temperatura_c
0,345.53632406509763,20.30047849277771
1,409.4264913860239,23.58087743082124
2,401.6983368663301,27.915766639459324
3,293.16574725965216,29.07877039458127
4,319.90864890543827,27.08351323718793
5,327.40580994606074,23.646987344024915
6,261.5581094557247,19.46783280716952
7,313.82242086367046,16.572397559269888
8,338.9906423991814,12.798537697085717
9,361.68583372002206,12.080084137086487
10,333.01274803507437,13.72958715829347
11,278.8083437437862,15.544548141888532
12,391.39416945177817,20.36357203158722
13,368.18796306337083,25.617546193255173
14,442.40083018841136,26.69551548427218
15,438.944218904136,27.52091935635448
16,380.9472027849551,27.47827162336768
17,457.45653370343945,23.669990107946468
18,388.22183535689027,19.23883586609111
19,415.4084488005386,16.320449291332903
20,463.9078296814059,14.12393423836224
21,431.98236634244614,11.896635090447267
22,393.6171159187009,14.296507964886407
23,410.2431111856379,16.12573614656313
24,474.9684313487296,19.12582820061517
25,351.7872301123783,24.65130232587661
26,377.88321314636835,25.095649823675817
27,316.96695171260126,28.19629518547808
28,385.0797035751566,26.47741425445058
29,342.69241344721985,23.62712557442758
30,398.2018908417649,19.550011901677856
31,325.6603631397627,14.032250508592064
32,389.76380745025796,12.941261555759445
33,364.1645250341776,11.602528122297691
34,376.4619839382319,12.203443074815375
35,383.67809992171226,14.267190286645874
36,448.6977714974282,22.097664759522083
37,378.46564693533094,24.726982185995418
38,335.5944358857687,26.855719129956807
39,409.94075768671667,28.911270817541748
40,445.45498789704124,27.44748183333042
41,367.2394303705209,23.61378943321082
42,460.2963459090324,21.76117752894742
43,376.91996498213797,15.79179201908964
44,421.54235679986573,13.833083258853868
45,416.40750736024637,12.27579917209106
46,418.5753950971653,12.49134989447291
47,473.8884812996992,15.159937642852269
48,337.82268924878156,17.844920124289306
49,346.6889493516342,24.209281213158537
50,366.55522414975263,27.620347677618017
51,396.913121928778,26.333405491087127
52,349.88732075698437,26.97705007845343
53,442.70123654902574,24.362879003399
54,387.9186804646071,19.802369058005574
55,384.2502669181949,14.752934885272522
56,367.2144606338236,13.956558171255
57,425.8520100227358,10.716263868971172
58,445.30418814176124,14.797178616608036
59,281.5881972166293,14.77611077275416
60,420.9873332970312,20.276526802053755
61,352.26234808868804,23.435919998518315
62,415.69340391785386,25.669002795196675
63,406.31284200551875,29.98004260896881
64,411.17918250741405,25.513513832939974
65,393.69351461015066,23.645830702468423
66,379.0321956532601,21.40742063128885
67,432.2256757788078,15.985884061888948
68,358.3296073253322,13.564159478946616
69,459.8239143439332,12.955444148667333
70,429.5364702579565,14.48539065996939
71,343.7024377783467,17.949132608012658
72,258.7645170913361,19.329253514642676
73,397.2730504846625,23.261987040448904
74,323.12114484691784,26.582887655033318
75,283.066120124945,28.77696859480705
76,367.385447977371,28.11493810740864
77,332.67350003410945,23.37915430745423
78,348.59694563147207,22.08656564231685
79,328.6361126632809,14.992522296210083
80,332.3433072100509,11.812615251273138
81,354.1321693954567,11.453636159448816
82,363.76298404284114,13.576700974415846
83,246.22252811074762,15.504212597945768
84,342.44021373039146,21.436608825440345
85,376.3415820828987,23.58028674475639
86,390.37366740497924,28.347794151850632
87,331.5490252078301,30.405744089145504
88,342.66641010267256,28.66858932402529
89,312.4890157403938,25.319763394945035
90,272.7892942253687,19.928759948727357
91,322.0940666988359,16.867381533755815
92,368.0259108178115,14.21024164419247
93,342.08468917968275,12.322648256617578
94,393.6505278463737,13.518581916837013
95,320.69106618888185,17.10687821926269
96,419.5385536170647,19.770640150274104
97,392.08436673141273,23.710266098042453
98,417.2939524927776,26.6899823170524
99,368.15487225757926,27.745708269568595
100,393.91012690645783,27.34192430407188
101,396.95143225315593,23.85374534287875
102,409.5589290428853,19.966638550026616
103,481.41410211491865,15.222871698731456
104,347.19718155336676,13.115996806996089
105,436.3753111856426,11.439567778324804
106,371.2052589394156,14.417246463606109
107,404.4061994269553,13.906478574576346
108,417.71398869794126,19.93676002807185
109,428.63046091400605,23.95938660925631
110,493.7235170920247,27.035417050856665
111,416.92285180256954,27.88499255543103
112,503.6522231407764,27.57065450390788
113,383.1884736870344,24.57075360107944
114,432.2194248698598,19.25020585267612
115,412.63880159746856,16.30885172899236
116,380.7777579865033,12.58502101109727
117,444.2345598133994,12.65788400493534
118,401.81989027726536,12.794585760089728
119,463.2028478473505,15.139785912363378
